date,open,max_v,min_v,close,volume,crypto
2021-01-13,"27.779,81","30.918,48","26.690,49","30.682,93",57.033.976.442,bitcoin
2021-01-12,"29.205,85","30.067,74","26.899,25","27.786,23",61.246.642.389,bitcoin
2021-01-11,"31.464,55","31.464,55","25.108,53","29.247,21",101.409.092.304,bitcoin
2021-01-10,"32.927,79","33.881,55","29.440,86","31.472,69",65.626.762.864,bitcoin
2021-01-09,"33.364,95","33.894,77","31.886,20","32.928,06",50.702.797.264,bitcoin
2021-01-08,"32.098,19","34.261,72","30.048,32","33.372,28",72.071.598.504,bitcoin
2021-01-07,"29.852,57","32.748,25","29.653,54","32.089,45",69.085.552.572,bitcoin
2021-01-06,"27.656,71","29.889,71","27.254,72","29.844,86",61.019.450.973,bitcoin
2021-01-05,"26.098,19","28.009,37","24.633,17","27.639,48",54.923.202.611,bitcoin
2021-01-04,"26.784,33","27.294,24","23.363,98","26.094,01",66.241.895.056,bitcoin
2021-01-03,"26.476,66","28.519,63","26.413,13","26.760,72",64.216.240.796,bitcoin
2021-04-12,"1.811,16","1.849,80","1.785,76","1.813,19",17.512.376.320,ethereum
2021-04-11,"1.794,94","1.820,25","1.781,25","1.813,76",16.554.093.445,ethereum
2021-04-10,"1.740,31","1.846,09","1.733,32","1.794,76",20.995.090.974,ethereum
2021-04-09,"1.753,00","1.768,92","1.727,72","1.741,15",16.648.024.049,ethereum
2021-04-08,"1.658,60","1.755,14","1.650,04","1.752,84",21.243.898.767,ethereum
2021-04-07,"1.783,52","1.797,02","1.639,80","1.660,24",30.420.735.851,ethereum
2021-04-06,"1.785,13","1.820,98","1.737,10","1.784,06",24.611.000.856,ethereum
2021-04-05,"1.778,86","1.812,70","1.729,16","1.783,77",24.447.213.937,ethereum
2021-04-04,"1.724,31","1.794,63","1.706,83","1.778,74",22.100.403.336,ethereum
2021-04-03,"1.822,21","1.823,96","1.724,95","1.724,95",27.222.307.544,ethereum
2021-04-02,"1.678,43","1.830,43","1.665,66","1.822,49",29.645.231.660,ethereum
2021-04-01,"1.636,48","1.689,15","1.624,91","1.678,72",26.246.361.138,ethereum
2021-03-31,"1.574,73","1.660,74","1.527,94","1.635,80",25.774.721.680,ethereum
2021-03-30,"1.546,05","1.587,93","1.524,34","1.574,68",19.203.515.357,ethereum
2021-03-29,"1.434,96","1.560,25","1.429,55","1.546,23",19.370.815.909,ethereum
2021-03-28,"1.455,29","1.461,87","1.418,47","1.435,04",14.083.939.010,ethereum
2021-03-27,"1.443,96","1.469,21","1.419,61","1.455,37",15.348.432.509,ethereum
2021-03-26,"1.354,66","1.443,86","1.354,04","1.443,79",19.118.278.371,ethereum
2021-03-25,"1.348,65","1.376,17","1.320,24","1.354,78",25.179.148.083,ethereum
2021-03-24,"1.417,17","1.471,45","1.330,01","1.348,89",26.435.857.150,ethereum
2021-03-23,"1.417,07","1.455,36","1.393,87","1.417,72",18.578.809.858,ethereum
2021-03-22,"1.504,88","1.521,56","1.402,99","1.417,46",19.777.932.905,ethereum
2021-03-21,"1.517,27","1.526,27","1.476,45","1.504,76",19.335.187.282,ethereum
2021-03-20,"1.521,38","1.569,25","1.516,53","1.517,29",18.982.687.999,ethereum
2021-03-19,"1.495,65","1.546,61","1.465,66","1.521,47",17.787.043.388,ethereum
2021-03-18,"1.521,49","1.544,56","1.430,53","1.495,89",19.519.343.459,ethereum
2021-03-17,"1.518,28","1.535,83","1.470,14","1.521,73",20.456.911.992,ethereum
2021-03-16,"1.502,88","1.523,70","1.442,18","1.518,21",20.020.546.958,ethereum
2021-03-15,"1.551,50","1.580,58","1.466,95","1.502,29",22.005.399.905,ethereum
2021-03-14,"1.609,49","1.615,28","1.543,52","1.551,90",16.187.590.941,ethereum
2021-03-13,"1.482,56","1.621,02","1.450,35","1.610,18",20.927.114.112,ethereum
2021-03-12,"1.524,54","1.535,03","1.448,74","1.482,51",18.769.381.829,ethereum
2021-03-11,"1.507,85","1.538,38","1.452,23","1.524,24",20.042.705.462,ethereum
2021-03-10,"1.570,55","1.576,01","1.487,01","1.508,80",21.094.541.175,ethereum
2021-03-09,"1.548,53","1.570,18","1.517,42","1.570,18",19.720.278.687,ethereum
2021-03-08,"1.445,74","1.548,43","1.404,99","1.548,17",23.315.500.066,ethereum
2021-03-07,"1.389,21","1.451,64","1.373,45","1.444,84",19.964.249.882,ethereum
2021-03-06,"1.286,49","1.400,72","1.274,86","1.388,66",19.088.686.124,ethereum
2021-03-05,"1.288,14","1.298,98","1.216,31","1.287,25",17.686.754.673,ethereum
2021-03-04,"1.307,13","1.345,68","1.262,40","1.288,45",19.140.742.204,ethereum
2021-03-03,"1.234,15","1.367,74","1.226,24","1.308,15",18.822.788.938,ethereum
2021-03-02,"1.298,12","1.326,04","1.208,97","1.235,11",18.637.908.745,ethereum
2021-03-01,"1.172,10","1.301,15","1.171,47","1.298,65",19.946.414.926,ethereum
2021-02-28,"1.209,28","1.216,35","1.077,25","1.171,18",22.858.003.893,ethereum
2021-02-27,"1.198,58","1.263,19","1.187,69","1.209,38",17.181.845.666,ethereum
2021-02-26,"1.216,21","1.289,92","1.160,55","1.197,83",26.040.260.332,ethereum
2021-02-25,"1.335,64","1.366,19","1.204,91","1.213,78",20.136.428.157,ethereum
2021-02-24,"1.293,29","1.406,87","1.242,96","1.336,61",25.744.010.941,ethereum
2021-02-23,"1.464,48","1.464,48","1.134,73","1.292,24",42.819.329.942,ethereum
2021-02-22,"1.596,35","1.597,09","1.302,07","1.464,96",34.864.503.500,ethereum
2021-02-21,"1.583,29","1.629,16","1.559,94","1.596,39",19.486.018.857,ethereum
2021-02-20,"1.617,32","1.680,35","1.510,56","1.584,00",28.631.283.770,ethereum
2021-02-19,"1.603,45","1.626,26","1.569,31","1.617,53",21.677.078.059,ethereum
2021-02-18,"1.534,35","1.612,24","1.534,35","1.602,28",23.367.773.035,ethereum
